abbo, person  
negro's, Black person  
nig, offensive word  
niger, Nigerien person  
nigerian, Nigerian person  
nigerians, Nigerian people  
nigg, offensive word  
nigga, Black person  
niggah, Black person  
niggaracci, offensive word  
niggard, miser  
niggarded, acted stingy  
niggarding, being stingy  
niggardliness, stinginess  
niggardliness's, stinginess  
niggardly, stingy  
niggards, stingy people  
niggard's, stingy person  
niggaz, Black people  
nigger, Black person  
niggerhead, offensive word  
niggerhole, offensive word  
niggers, Black people  
nigger's, Black person  
niggle, complain  
niggled, complained  
niggles, complaints  
niggling, bothering  
nigglings, bothers  
niggor, offensive word  
niggur, offensive word  
niglet, Black child  
nignog, Black person  
nigr, Black person  
nigra, Black person  
nigre, Black person  
nip, Japanese person  
nipple, anatomy  
nipplering, jewelry  
nittit, offensive word  
nlgger, offensive word  
nlggor, offensive word  
nofuckingway, no way  
nook, corner  
nookey, sex  
nookie, sex  
noonan, surname  
nooner, midday encounter  
nude, naked  
nudger, offensive word  
nuke, bomb  
nutfucker, offensive word  
nymph, spirit  
ontherag, menstruating  
oral, spoken / oral sex  
orga, orgasm  
orgasim, orgasm  
orgasm, climax  
orgies, group sex  
orgy, group sex  
osama, Osama bin Laden  
paki, Pakistani person  
pansies, weak people  
pansy, weak person  
panti, panties  
panties, underwear  
payo, offensive word  
pearlnecklace, sexual act  
peck, kiss  
pecker, penis  
peckerwood, white person  
pee, urinate  
peehole, urethra  
pee-pee, urine  
peepshow, adult show  
peepshpw, adult show  
pendy, offensive word  
penetration, entry  
peni5, penis  
penile, relating to penis  
penis, anatomy  
penises, anatomy  
penthouse, magazine  
period, menstruation  
perv, pervert  
phonesex, phone intimacy  
phuk, curse  
phuked, cursed  
phuking, cursing  
phukked, cursed  
phukking, cursing  
phungky, funky  
phuq, curse  
pi55, piss  
picaninny, Black child  
piccaninny, Black child  
pickaninny, Black child  
piker, cheapskate  
pikey, traveler  
piky, traveler  
pimp, exploiter  
pimped, exploited  
pimper, exploiter  
pimpjuic, alcohol  
pimpjuice, alcohol  
pimpsimp, offensive word  
pindick, small penis  
piss, urinate  
pissed, angry  
pisser, toilet  
pisses, urinates  
pisshead, drunkard  
pissin, urinating  
pissing, urinating  
pissoff, go away  
pistol, firearm  
pixie, fairy  
pixy, fairy  
playboy, adult magazine  
playgirl, adult magazine  
pocha, Mexican person  
pocho, Mexican person  
pohm, British person  
pom, British person  
pommie, British person  
pommy, British person  
poo, feces  
poon, vagina  
poontang, vagina  
poop, feces  
pooper, anus  
pooperscooper, scoop  
pooping, defecating  
poorwhitetrash, poor white person  
popimp, offensive word  
porchmonkey, Black person  
porn, adult content  
pornflick, adult movie  
pornking, porn producer  
porno, pornography  
pornography, adult content  
pornprincess, porn actress  
pot, cannabis  
poverty, hardship  
premature, early  
pric, prick  
prick, fool  
prickhead, fool  
primetime, peak time  
propaganda, misinformation  
pros, professionals  
prostitute, sex worker  
protestant, Protestant person  
pu55i, pussy  
pu55y, pussy  
pube, pubic hair  
pubic, genital area  
pubiclice, lice  
pud, penis  
pudboy, offensive word  
pudd, penis  
puddboy, offensive word  
puke, vomit  
puntang, vagina  
purinapricness, offensive word  
puss, cat  
pussie, pussy  
pussies, pussycats  
pussy, vagina  
pussycat, cat  
pussyeater, oral partner  
pussyfucker, offensive word  
pussylicker, oral partner  
pussylips, labia  
pussylover, admirer  
pussypounder, offensive word  
pusy, pussy  
quashie, offensive word  
queef, vaginal sound  
queer, gay person  
quickie, brief encounter  
quim, vagina  
ra8s, offensive word  
rabbi, Jewish leader  
racial, ethnic  
racist, prejudiced person  
radical, extremist  
radicals, extremists  
raghead, offensive word  
randy, aroused  
rape, sexual assault  
raped, assaulted  
raper, rapist  
rapist, abuser  
rearend, buttocks  
rearentry, anal sex  
rectum, anatomy  
redlight, adult area  
redneck, rural white person  
reefer, cannabis  
reestie, offensive word  
refugee, displaced person  
reject, outcast  
remains, leftovers  
rentafuck, sex worker  
republican, Republican person  
rere, offensive word  
retard, fool  
retarded, intellectually disabled  
ribbed, textured  
rigger, worker  
rimjob, oral anal act  
rimming, oral anal act  
roach, insect  
robber, thief  
roundeye, non-Asian person  
rump, buttocks  
russki, Russian person  
russkie, Russian person  
sadis, cruel
sadom, harmful
samckdaddy, arrogant
sandm, rough_play
sandnigger, offensive_term → use "person"
satan, evil
scag, rude_person
scallywag, trickster
scat, waste
schlong, male_genitalia
screw, mess_up
screwyou, leave_me_alone
scrotum, anatomy
scum, lowlife
semen, fluid
seppo, foreigner
servant, helper
sex, intimacy
sexed, intimate
sexfarm, explicit_content
sexhound, lustful
sexhouse, brothel
sexing, intimacy
sexkitten, flirt
sexpot, attractive_person
sexslave, abuse_victim
sextogo, explicit_content
sextoy, adult_item
sextoys, adult_items
sexual, intimate
sexually, intimately
sexwhore, derogatory → use "promiscuous"
sexy, attractive
sexymoma, attractive_person
sexy-slim, attractive_person
shag, casual_encounter
shaggin, hooking_up
shagging, hooking_up
shat, defecated
shav, groom
shawtypimp, show_off
sheeney, derogatory → use "Jewish_person"
shhit, typo_of_shit
shinola, nonsense
shit, crap
shitcan, discard
shitdick, insult
shite, crap
shiteater, insult
shited, soiled
shitface, jerk
shitfaced, drunk
shitfit, tantrum
shitforbrains, idiot
shitfuck, jerk
shitfucker, jerk
shitfull, messy
shithapens, things_go_wrong
shithappens, things_go_wrong
shithead, idiot
shithouse, dirty_place
shiting, defecating
shitlist, blacklist
shitola, nonsense
shitoutofluck, unlucky
shits, craps
shitstain, insult
shitted, defecated
shitter, toilet
shitting, defecating
shitty, awful
shoot, fire
shooting, gunfire
shortfuck, insult
showtime, main_event
sick, ill
sissy, weakling
sixsixsix, devil_number
sixtynine, intimacy
sixtyniner, intimacy
skank, promiscuous
skankbitch, insult
skankfuck, insult
skankwhore, insult
skanky, trashy
skankybitch, insult
skankywhore, insult
skinflute, euphemism
skum, scum
skumbag, jerk
slant, derogatory → use "Asian_person"
slanteye, offensive → use "Asian_person"
slapper, promiscuous
slaughter, massacre
slav, slavic
slave, enslaved_person
slavedriver, bossy_person
sleezebag, creep
sleezeball, creep
slideitin, euphemism
slime, goo
slimeball, creep
slimebucket, creep
slopehead, racist → use "Asian_person"
slopey, offensive → use "Asian_person"
slopy, offensive → use "Asian_person"
slut, promiscuous
sluts, promiscuous_people
slutt, promiscuous
slutting, promiscuous
slutty, promiscuous
slutwear, revealing_clothes
slutwhore, insult
smack, hit
smackthemonkey, euphemism
smut, explicit_content
snatch, vagina
snatchpatch, euphemism
snigger, snicker
sniggered, snickered
sniggering, snickering
sniggers, snickers
snigger's, snicker’s
sniper, marksman
snot, mucus
snowback, insult
snownigger, racist → use "person"
sob, jerk
sodom, sin
sodomise, abuse
sodomite, insult
sodomize, abuse
sodomy, anal_sex
sonofabitch, jerk
sonofbitch, jerk
sooty, dirty
sos, emergency
soviet, russian
spaghettibender, offensive → use "Italian"
spaghettinigger, racist → use "Italian"
spank, discipline
spankthemonkey, euphemism
sperm, fluid
spermacide, contraceptive
spermbag, insult
spermhearder, euphemism
spermherder, euphemism
spic, racist → use "Latino"
spick, racist → use "Latino"
spig, racist → use "Latino"
spigotty, racist → use "Latino"
spik, racist → use "Latino"
spit, saliva
spitter, disrespectful
splittail, euphemism
spooge, fluid
spreadeagle, position
spunk, energy
spunky, energetic
squaw, derogatory → use "Native_woman"
stagg, party
stiffy, erection
strapon, toy
stringer, contributor
stripclub, adult_club
stroke, caress
stroking, touching
stupid, foolish
stupidfuck, idiot
stupidfucker, idiot
suck, awful
suckdick, insult
sucker, fool
suckme, demand
suckmyass, insult
suckmydick, insult
suckmytit, insult
suckoff, euphemism
suicide, self_harm
swallow, ingest
swallower, euphemism
swalow, ingest
sweetness, kind
taboo, forbidden
taff, insult
tampon, hygiene_product
tang, slang
tantra, meditation
tarbaby, racist → use "trap"
tard, derogatory → use "slow"
teat, nipple
terror, fear
terrorist, attacker
teste, testicle
testicle, anatomy
testicles, anatomy
thicklips, offensive
thirdeye, insight
thirdleg, euphemism
threesome, intimacy
threeway, intimacy
timbernigger, racist → use "logger"
tinkle, pee
tit, breast
titbitnipply, euphemism
titfuck, euphemism
titfucker, insult
titfuckin, euphemism
titjob, euphemism
titlicker, euphemism
titlover, euphemism
tits, breasts
tittie, breast
titties, breasts
titty, breast
tnt, explosive
tongethruster, euphemism
tonguethrust, euphemism
tonguetramp, euphemism
tortur, torture
torture, torment
towelhead, racist → use "Arab"
trailertrash, insult
tramp, vagrant
trannie, derogatory → use "trans_person"
tranny, derogatory → use "trans_person"
transexual, trans_person
transsexual, trans_person
transvestite, crossdresser
triplex, adult_content
trisexual, experimental
trojan, condom
trots, diarrhea
tuckahoe, insult
tunneloflove, euphemism
turd, poop
turnon, arousal
twat, jerk
twink, gay_youth
twinkie, snack
twobitwhore, insult
uck, yuck
uk, united_kingdom
unfuckable, unattractive
upskirt, voyeurism
uptheass, euphemism
upthebutt, euphemism
urinary, related_to_urine
urinate, pee
urine, pee
usama, person
uterus, anatomy
vagina, anatomy
vaginal, related_to_vagina
vatican, catholic_church
vibr, vibrator
vibrater, vibrator
vibrator, toy
vietcong, vietnamese
violence, brutality
virgin, inexperienced
virginbreaker, abuser
vomit, puke
vulva, anatomy
wab, insult
wank, masturbate
wanker, jerk
wanking, masturbating
waysted, wasted
weapon, arm
weenie, penis
weewee, pee
welcher, cheat
wetb, wetback
wetback, racist → use "immigrant"
wetspot, stain
whacker, fool
whash, wash
whigger, insult
whiskeydick, drunk_impotence
whiskydick, drunk_impotence
whit, person
whitenigger, racist → use "white_person"
whites, caucasians
whitetrash, insult
whitey, caucasian
whiz, expert
whop, derogatory → use "Italian"
whore, prostitute
whorefucker, insult
whorehouse, brothel
wigger, insult
willie, penis
williewanker, insult
willy, penis
wn, abbreviation
wog, racist → use "immigrant"
wop, racist → use "Italian"
wtf, what_the_heck
wuss, coward
wuzzie, coward
xtc, ecstasy
xxx, adult_content
yankee, american
yellowman, racist → use "Asian"
zigabo, racist → use "black_person"
zipperhead, racist → use "Asian"
